Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
25,Bareilly,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,34804,BJP,Result Declared,PRAVEEN SINGH ARON,Samajwadi Party
25,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,220479,Other,Result Declared,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party
25,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,218665,BJP,Result Declared,RADHESHYAM MUVEL,Indian National Congress
25,Howrah,PRASUN BANERJEE,All India Trinamool Congress,169442,Other,Result Declared,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party
25,JHALAWAR-BARAN,DUSHYANT SINGH,Bharatiya Janata Party,370989,BJP,Result Declared,URMILA JAIN “BHAYA”,Indian National Congress
25,Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),161131,Other,Result Declared,SANJAY KUMAR,Communist Party of India (Marxist)
25,Navsari,C R PATIL,Bharatiya Janata Party,773551,BJP,Result Declared,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress
25,PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,389107,Other,Result Declared,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam
25,Thane,NARESH GANPAT MHASKE,Shiv Sena,217011,Other,Result Declared,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey)
26,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,277083,BJP,Result Declared,SOWMYA REDDY,Indian National Congress
26,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal (United),104868,Other,Result Declared,AJEET SHARMA,Indian National Congress
26,CUDDALORE,M.K. VISHNUPRASAD,Indian National Congress,185896,INC,Result Declared,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam
26,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,1175092,BJP,Result Declared,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party
26,Mumbai North,PIYUSH GOYAL,Bharatiya Janata Party,357608,BJP,Result Declared,BHUSHAN PATIL,Indian National Congress
26,Pilibhit,JITIN PRASADA,Bharatiya Janata Party,164935,BJP,Result Declared,BHAGWAT SARAN GANGWAR,Samajwadi Party
26,Uluberia,SAJDA AHMED,All India Trinamool Congress,218673,Other,Result Declared,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party
26,Valsad,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,210704,BJP,Result Declared,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress
27,Banka,GIRIDHARI YADAV,Janata Dal (United),103844,Other,Result Declared,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal
27,CHIDAMBARAM,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katch,103554,Other,Result Declared,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam
27,Chikkballapur,DR.K.SUDHAKAR,Bharatiya Janata Party,163460,BJP,Result Declared,M.S. RAKSHA RAMAIAH,Indian National Congress
27,KHARGONE,GAJENDRA SINGH PATEL,Bharatiya Janata Party,135018,BJP,Result Declared,PORLAL BATHA KHARTE,Indian National Congress
27,Mumbai North West,RAVINDRA DATTARAM WAIKAR,Shiv Sena,48,Other,Result Declared,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey)
27,Shahjahanpur,ARUN KUMAR SAGAR,Bharatiya Janata Party,55379,BJP,Result Declared,JYOTSNA GOND,Samajwadi Party
27,Srerampur,KALYAN BANERJEE,All India Trinamool Congress,174830,Other,Result Declared,KABIR SHANKAR BOSE,Bharatiya Janata Party
