Const. No.,Constituency,Leading Candidate,Leading Party,Margin,Party Category,Status,Trailing Candidate,Trailing Party
1,Adilabad,GODAM NAGESH,Bharatiya Janata Party,90652,BJP,Result Declared,ATHRAM SUGUNA,Indian National Congress
1,AMBALA,VARUN CHAUDHRY,Indian National Congress,49036,INC,Result Declared,BANTO KATARIA,Bharatiya Janata Party
1,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,24396,BJP,Result Declared,KULDEEP RAI SHARMA,Indian National Congress
1,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,50580,Other,Result Declared,KOTHAPALLI GEETHA,Bharatiya Janata Party
1,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,100738,BJP,Result Declared,NABAM TUKI,Indian National Congress
1,BARAMULLA,ABDUL RASHID SHEIKH,Independent,204142,Other,Result Declared,OMAR ABDULLAH,Jammu & Kashmir National Conference
1,Bargarh,PRADEEP PUROHIT,Bharatiya Janata Party,251667,BJP,Result Declared,PARINITA MISHRA,Biju Janata Dal
1,Chandigarh,MANISH TEWARI,Indian National Congress,2504,INC,Result Declared,SANJAY TANDON,Bharatiya Janata Party
1,Chandni Chowk,PRAVEEN KHANDELWAL,Bharatiya Janata Party,89325,BJP,Result Declared,JAI PRAKASH AGARWAL,Indian National Congress
1,Chikkodi,PRIYANKA SATISH JARKIHOLI,Indian National Congress,90834,INC,Result Declared,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party
1,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,39250,Other,Result Declared,NISITH PRAMANIK,Bharatiya Janata Party
1,Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,6225,Other,Result Declared,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
1,GANGANAGAR,KULDEEP INDORA,Indian National Congress,88153,INC,Result Declared,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party
1,Gurdaspur,SUKHJINDER SINGH RANDHAWA,Indian National Congress,82861,INC,Result Declared,DINESH SINGH BABBU,Bharatiya Janata Party
1,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,109801,INC,Result Declared,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party
1,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,268782,BJP,Result Declared,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress
1,KANGRA,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,251895,BJP,Result Declared,ANAND SHARMA,Indian National Congress
1,Kasaragod,RAJMOHAN UNNITHAN,Indian National Congress,100649,INC,Result Declared,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist)
1,Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",51583,Other,Result Declared,KAMPA BORGOYARI,Bodoland Peoples Front
1,Ladakh,MOHMAD HANEEFA,Independent,27862,Other,Result Declared,TSERING NAMGYAL,Indian National Congress
1,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,2647,INC,Result Declared,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar
1,MIZORAM,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,68288,Other,Result Declared,K VANLALVENA,Mizo National Front
1,MORENA,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,52530,BJP,Result Declared,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress
1,Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,50984,INC,Result Declared,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party
1,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,159120,INC,Result Declared,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party
1,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,116015,BJP,Result Declared,RAMAKANT KHALAP,Indian National Congress
1,PUDUCHERRY,VE VAITHILINGAM,Indian National Congress,136516,INC,Result Declared,A NAMASSIVAYAM,Bharatiya Janata Party
1,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,178264,Other,Result Declared,TALA MARANDI,Bharatiya Janata Party
1,Saharanpur,IMRAN MASOOD,Indian National Congress,64542,INC,Result Declared,RAGHAV LAKHANPAL,Bharatiya Janata Party
1,Shillong,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,371910,Other,Result Declared,VINCENT H. PALA,Indian National Congress
1,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,80830,Other,Result Declared,BHARAT BASNETT,Citizen Action Party-Sikkim
1,SURGUJA,CHINTAMANI MAHARAJ,Bharatiya Janata Party,64822,BJP,Result Declared,SHASHI SINGH KORAM,Indian National Congress
1,Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,272493,BJP,Result Declared,JOT SINGH GUNSOLA,Indian National Congress
1,TIRUVALLUR,Sasikanth Senthil,Indian National Congress,572155,INC,Result Declared,"Balaganapathy, V. Pon",Bharatiya Janata Party
1,Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,611578,BJP,Result Declared,ASISH KUMAR SAHA,Indian National Congress
1,Valmiki Nagar,SUNIL KUMAR,Janata Dal (United),98675,Other,Result Declared,DEEPAK YADAV,Rashtriya Janata Dal
2,Alipurduars,MANOJ TIGGA,Bharatiya Janata Party,75447,BJP,Result Declared,PRAKASH CHIK BARAIK,All India Trinamool Congress
2,Amritsar,GURJEET SINGH AUJLA,Indian National Congress,40301,INC,Result Declared,KULDEEP SINGH DHALIWAL,Aam Aadmi Party
2,Arunachal East,TAPIR GAO,Bharatiya Janata Party,30421,BJP,Result Declared,BOSIRAM SIRAM,Indian National Congress
2,Banaskantha,GENIBEN NAGAJI THAKOR,Indian National Congress,30406,INC,Result Declared,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party
2,Belgaum,JAGADISH SHETTAR,Bharatiya Janata Party,178437,BJP,Result Declared,MRINAL R HEBBALKAR,Indian National Congress
2,BHIND,SANDHYA RAY,Bharatiya Janata Party,64840,BJP,Result Declared,PHOOL SINGH BARAIYA,Indian National Congress
2,BIKANER,ARJUN RAM MEGHWAL,Bharatiya Janata Party,55711,BJP,Result Declared,GOVINDRAM MEGHWAL,Indian National Congress
2,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,339222,Other,Result Declared,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam
2,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,57584,BJP,Result Declared,AJIT RAMJIBHAI MAHALA,Indian National Congress
2,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,1012476,INC,Result Declared,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front
2,Dhule,BACHHAV SHOBHA DINESH,Indian National Congress,3831,INC,Result Declared,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party
2,Dumka,NALIN SOREN,Jharkhand Mukti Morcha,22527,Other,Result Declared,SITA MURMU,Bharatiya Janata Party
2,Garhwal,ANIL BALUNI,Bharatiya Janata Party,163503,BJP,Result Declared,GANESH GODIYAL,Indian National Congress
2,Kairana,IQRA CHOUDHARY,Samajwadi Party,69116,Other,Result Declared,PRADEEP KUMAR,Bharatiya Janata Party
2,Kannur,K. SUDHAKARAN,Indian National Congress,108982,INC,Result Declared,M.V. JAYARAJAN,Communist Party of India (Marxist)
2,KURUKSHETRA,NAVEEN JINDAL,Bharatiya Janata Party,29021,BJP,Result Declared,DR SUSHIL GUPTA,Aam Aadmi Party
2,MANDI,KANGNA RANAUT,Bharatiya Janata Party,74755,BJP,Result Declared,VIKRAMADITYA SINGH,Indian National Congress
2,North-East Delhi,MANOJ TIWARI,Bharatiya Janata Party,138778,BJP,Result Declared,KANHAIYA KUMAR,Indian National Congress
2,Outer Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,85418,INC,Result Declared,KACHUI TIMOTHY ZIMIK,Naga Peoples Front
2,Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,136568,BJP,Result Declared,MADAN MOHAN TIWARI,Indian National Congress
2,Peddapalle,VAMSI KRISHNA GADDAM,Indian National Congress,131364,INC,Result Declared,SRINIVAS GOMASE,Bharatiya Janata Party
2,RAIGARH,RADHESHYAM RATHIYA,Bharatiya Janata Party,240391,BJP,Result Declared,DR. MENKA DEVI SINGH,Indian National Congress
2,South Goa,CAPTAIN VIRIATO FERNANDES,Indian National Congress,13535,INC,Result Declared,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party
2,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,327901,Other,Result Declared,TILAK PERADA,Yuvajana Sramika Rythu Congress Party
2,SRINAGAR,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,188416,Other,Result Declared,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party
2,Sundargarh,JUAL ORAM,Bharatiya Janata Party,138808,BJP,Result Declared,DILIP KUMAR TIRKEY,Biju Janata Dal
2,Tripura East,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,486819,BJP,Result Declared,RAJENDRA REANG,Communist Party of India (Marxist)
2,Tura,SALENG A SANGMA,Indian National Congress,155241,INC,Result Declared,AGATHA K SANGMA,National People's Party
3,Almora,AJAY TAMTA,Bharatiya Janata Party,234097,BJP,Result Declared,PRADEEP TAMTA,Indian National Congress
3,ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,281794,Other,Result Declared,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party
3,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,68399,BJP,Result Declared,SAMYUKTA SHIVANAND PATIL,Indian National Congress
3,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,222351,Other,Result Declared,DEEP BAYAN,Indian National Congress
3,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,225945,Other,Result Declared,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party
3,CHURU,RAHUL KASWAN,Indian National Congress,72737,INC,Result Declared,DEVENDRA JHAJHARIA,Bharatiya Janata Party
3,East Delhi,HARSH MALHOTRA,Bharatiya Janata Party,93663,BJP,Result Declared,KULDEEP KUMAR (MONU),Aam Aadmi Party
3,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,101813,BJP,Result Declared,PRADEEP YADAV,Indian National Congress
3,GWALIOR,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,70210,BJP,Result Declared,PRAVEEN PATHAK,Indian National Congress
3,HAMIRPUR,ANURAG SINGH THAKUR,Bharatiya Janata Party,182357,BJP,Result Declared,SATPAL RAIZADA,Indian National Congress
3,Jalgaon,SMITA UDAY WAGH,Bharatiya Janata Party,251594,BJP,Result Declared,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey)
3,Jalpaiguri,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,86693,BJP,Result Declared,NIRMAL CHANDRA ROY,All India Trinamool Congress
3,JANJGIR-CHAMPA,KAMLESH JANGDE,Bharatiya Janata Party,60000,BJP,Result Declared,DR. SHIVKUMAR DAHARIYA,Indian National Congress
3,Karimnagar,BANDI SANJAY KUMAR,Bharatiya Janata Party,225209,BJP,Result Declared,VELCHALA RAJENDER RAO,Indian National Congress
3,Khadoor Sahib,AMRITPAL SINGH,Independent,197120,Other,Result Declared,KULBIR SINGH ZIRA,Indian National Congress
3,Muzaffarnagar,HARENDRA SINGH MALIK,Samajwadi Party,24672,Other,Result Declared,SANJEEV KUMAR BALYAN,Bharatiya Janata Party
3,Patan,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,31876,BJP,Result Declared,CHANDANJI TALAJI THAKOR,Indian National Congress
3,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,88287,BJP,Result Declared,DR RAJESH KUMAR,Vikassheel Insaan Party
3,Sambalpur,DHARMENDRA PRADHAN,Bharatiya Janata Party,119836,BJP,Result Declared,PRANAB PRAKASH DAS,Biju Janata Dal
3,SIRSA,SELJA,Indian National Congress,268497,INC,Result Declared,ASHOK TANWAR,Bharatiya Janata Party
3,Vadakara,SHAFI PARAMBIL,Indian National Congress,114506,INC,Result Declared,K K SHAILAJA TEACHER,Communist Party of India (Marxist)
3,Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,249351,Other,Result Declared,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party
4,Bijapur,RAMESH JIGAJINAGI,Bharatiya Janata Party,77229,BJP,Result Declared,RAJU ALAGUR.,Indian National Congress
4,Bijnor,CHANDAN CHAUHAN,Rashtriya Lok Dal,37508,Other,Result Declared,DEEPAK,Samajwadi Party
4,Chatra,KALI CHARAN SINGH,Bharatiya Janata Party,220959,BJP,Result Declared,KRISHNA NAND TRIPATHI,Indian National Congress
4,CHENNAI CENTRAL,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,244689,Other,Result Declared,VINOJ,Bharatiya Janata Party
4,Darjeeling,RAJU BISTA,Bharatiya Janata Party,178525,BJP,Result Declared,GOPAL LAMA,All India Trinamool Congress
4,Darrang-Udalguri,DILIP SAIKIA,Bharatiya Janata Party,329012,BJP,Result Declared,MADHAB RAJBANGSHI,Indian National Congress
4,GUNA,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,540929,BJP,Result Declared,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress
4,HISAR,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,63381,INC,Result Declared,RANJIT SINGH,Bharatiya Janata Party
4,Jalandhar,CHARANJIT SINGH CHANNI,Indian National Congress,175993,INC,Result Declared,SUSHIL KUMAR RINKU,Bharatiya Janata Party
4,JHUNJHUNU,BRIJENDRA SINGH OLA,Indian National Congress,18235,INC,Result Declared,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party
4,Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,97042,BJP,Result Declared,DHANURJAYA SIDU,Biju Janata Dal
4,KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,43283,INC,Result Declared,SAROJ PANDEY,Bharatiya Janata Party
4,Mahesana,HARIBHAI PATEL,Bharatiya Janata Party,328046,BJP,Result Declared,RAMJI THAKOR,Indian National Congress
4,Nainital-Udhamsingh Nagar,AJAY BHATT,Bharatiya Janata Party,334548,BJP,Result Declared,PRAKASH JOSHI,Indian National Congress
4,New Delhi,BANSURI SWARAJ,Bharatiya Janata Party,78370,BJP,Result Declared,SOMNATH BHARTI,Aam Aadmi Party
4,Nizamabad,ARVIND DHARMAPURI,Bharatiya Janata Party,109241,BJP,Result Declared,JEEVANREDDY THATIPARTHI,Indian National Congress
4,Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,272183,BJP,Result Declared,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar
4,Sheohar,LOVELY ANAND,Janata Dal (United),29143,Other,Result Declared,RITU JAISWAL,Rashtriya Janata Dal
4,SHIMLA,Suresh Kumar Kashyap,Bharatiya Janata Party,91451,BJP,Result Declared,Vinod Sultanpuri,Indian National Congress
4,UDHAMPUR,DR JITENDRA SINGH,Bharatiya Janata Party,124373,BJP,Result Declared,CH LAL SINGH,Indian National Congress
4,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,504247,Other,Result Declared,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party
4,Wayanad,RAHUL GANDHI,Indian National Congress,364422,INC,Result Declared,ANNIE RAJA,Communist Party of India
5,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,296530,BJP,Result Declared,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
5,BILASPUR,TOKHAN SAHU,Bharatiya Janata Party,164558,BJP,Result Declared,DEVENDRA YADAV,Indian National Congress
5,Buldhana,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,29479,Other,Result Declared,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey)
5,Gulbarga,RADHAKRISHNA,Indian National Congress,27205,INC,Result Declared,DR. UMESH G JADHAV,Bharatiya Janata Party
5,Guwahati,BIJULI KALITA MEDHI,Bharatiya Janata Party,251090,BJP,Result Declared,MIRA BORTHAKUR GOSWAMI,Indian National Congress
5,Haridwar,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,164056,BJP,Result Declared,VIRENDRA RAWAT,Indian National Congress
5,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,44111,Other,Result Declared,YAMINI GOMAR,Indian National Congress
5,JAMMU,JUGAL KISHORE,Bharatiya Janata Party,135498,BJP,Result Declared,RAMAN BHALLA,Indian National Congress
5,KARNAL,MANOHAR LAL,Bharatiya Janata Party,232577,BJP,Result Declared,DIVYANSHU BUDHIRAJA,Indian National Congress
5,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,377014,BJP,Result Declared,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation)
5,Kozhikode,M. K. RAGHAVAN,Indian National Congress,146176,INC,Result Declared,ELAMARAM KAREEM,Communist Party of India (Marxist)
5,Mayurbhanj,NABA CHARAN MAJHI,Bharatiya Janata Party,219334,BJP,Result Declared,SUDAM MARNDI,Biju Janata Dal
5,Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),151473,Other,Result Declared,OM KUMAR,Bharatiya Janata Party
5,North-West Delhi,YOGENDER CHANDOLIYA,Bharatiya Janata Party,290849,BJP,Result Declared,UDIT RAJ,Indian National Congress
5,Raiganj,KARTICK CHANDRA PAUL,Bharatiya Janata Party,68197,BJP,Result Declared,KALYANI KRISHNA,All India Trinamool Congress
5,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,155682,BJP,Result Declared,CHAUDHARI TUSHAR AMARSINH,Indian National Congress
5,SAGAR,DR. LATA WANKHEDE,Bharatiya Janata Party,471222,BJP,Result Declared,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress
5,SIKAR,AMRARAM,Communist Party of India (Marxist),72896,Other,Result Declared,SUMEDHANAND SARASWATI,Bharatiya Janata Party
5,Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal (United),51356,Other,Result Declared,ARJUN RAY,Rashtriya Janata Dal
5,SRIPERUMBUDUR,T R BAALU,Dravida Munnetra Kazhagam,487029,Other,Result Declared,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam
5,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,46188,INC,Result Declared,B. B. PATIL,Bharatiya Janata Party
6,Akola,ANUP SANJAY DHOTRE,Bharatiya Janata Party,40626,BJP,Result Declared,ABHAY KASHINATH PATIL,Indian National Congress
6,Anandpur Sahib,MALVINDER SINGH KANG,Aam Aadmi Party,10846,Other,Result Declared,VIJAY INDER SINGLA,Indian National Congress
6,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,147156,BJP,Result Declared,LEKHASRI SAMANTSINGHAR,Biju Janata Dal
6,Balurghat,SUKANTA MAJUMDAR,Bharatiya Janata Party,10386,BJP,Result Declared,BIPLAB MITRA,All India Trinamool Congress
6,Diphu,AMARSING TISSO,Bharatiya Janata Party,147603,BJP,Result Declared,J. I. KATHAR,Independent
6,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,744716,BJP,Result Declared,SONAL RAMANBHAI PATEL,Indian National Congress
6,Giridih,CHANDRA PRAKASH CHOUDHARY,AJSU Party,80880,Other,Result Declared,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
6,JAIPUR RURAL,RAO RAJENDRA SINGH,Bharatiya Janata Party,1615,BJP,Result Declared,ANIL CHOPRA,Indian National Congress
6,Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,229491,Other,Result Declared,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party
6,KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,221473,Other,Result Declared,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam
6,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,151945,BJP,Result Declared,MD ALI ASHRAF FATMI,Rashtriya Janata Dal
6,Malappuram,E.T. MOHAMMED BASHEER,Indian Union Muslim League,300118,Other,Result Declared,V. VASEEF,Communist Party of India (Marxist)
6,Medak,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,39139,BJP,Result Declared,NEELAM MADHU,Indian National Congress
6,Moradabad,RUCHI VIRA,Samajwadi Party,105762,Other,Result Declared,KUNWAR SARVESH KUMAR,Bharatiya Janata Party
6,Raichur,G. KUMAR NAIK.,Indian National Congress,79781,INC,Result Declared,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party
6,RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,44411,BJP,Result Declared,BHUPESH BAGHEL,Indian National Congress
6,SONIPAT,SATPAL BRAHAMCHARI,Indian National Congress,21816,INC,Result Declared,MOHAN LAL BADOLI,Bharatiya Janata Party
6,TIKAMGARH,DR. VIRENDRA KUMAR,Bharatiya Janata Party,403312,BJP,Result Declared,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress
6,West Delhi,KAMALJEET SEHRAWAT,Bharatiya Janata Party,199013,BJP,Result Declared,MAHABAL MISHRA,Aam Aadmi Party
7,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,461755,BJP,Result Declared,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress
7,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,342196,Other,Result Declared,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party
7,Amravati,BALWANT BASWANT WANKHADE,Indian National Congress,19731,INC,Result Declared,NAVNEET RAVI RANA,Bharatiya Janata Party
7,ARAKKONAM,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,306559,Other,Result Declared,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam
7,Bhadrak,AVIMANYU SETHI,Bharatiya Janata Party,91544,BJP,Result Declared,MANJULATA MANDAL,Biju Janata Dal
7,Bidar,SAGAR ESHWAR KHANDRE,Indian National Congress,128875,INC,Result Declared,BHAGWANTH KHUBA,Bharatiya Janata Party
7,DAMOH,RAHUL SINGH LODHI,Bharatiya Janata Party,406426,BJP,Result Declared,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress
7,Dhanbad,DULU MAHATO,Bharatiya Janata Party,331583,BJP,Result Declared,ANUPAMA SINGH,Indian National Congress
7,DURG,VIJAY BAGHEL,Bharatiya Janata Party,438226,BJP,Result Declared,RAJENDRA SAHU,Indian National Congress
7,JAIPUR,MANJU SHARMA,Bharatiya Janata Party,331767,BJP,Result Declared,PRATAP SINGH KHACHARIYAWAS,Indian National Congress
7,Jhanjharpur,RAMPRIT MANDAL,Janata Dal (United),184169,Other,Result Declared,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party
7,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,18360,BJP,Result Declared,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress
7,Ludhiana,AMRINDER SINGH RAJA WARRING,Indian National Congress,20942,INC,Result Declared,RAVNEET SINGH BITTU,Bharatiya Janata Party
7,Maldaha Uttar,KHAGEN MURMU,Bharatiya Janata Party,77708,BJP,Result Declared,PRASUN BANERJEE,All India Trinamool Congress
7,Malkajgiri,EATALA RAJENDER,Bharatiya Janata Party,391475,BJP,Result Declared,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress
7,Ponnani,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,235760,Other,Result Declared,K.S HAMZA,Communist Party of India (Marxist)
7,Rampur,MOHIBBULLAH,Samajwadi Party,87434,Other,Result Declared,GHANSHYAM SINGH LODHI,Bharatiya Janata Party
7,ROHTAK,DEEPENDER SINGH HOODA,Indian National Congress,345298,INC,Result Declared,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party
7,South Delhi,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,124333,BJP,Result Declared,SAHI RAM,Aam Aadmi Party
8,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,286437,BJP,Result Declared,BHARAT YOGENDRA MAKWANA,Indian National Congress
8,ALWAR,BHUPENDER YADAV,Bharatiya Janata Party,48282,BJP,Result Declared,LALIT YADAV,Indian National Congress
8,BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,Bharatiya Janata Party,41510,BJP,Result Declared,RAO DAN SINGH,Indian National Congress
8,Fatehgarh Sahib,AMAR SINGH,Indian National Congress,34202,INC,Result Declared,GURPREET SINGH GP,Aam Aadmi Party
8,Jajpur,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,1587,BJP,Result Declared,SARMISTHA SETHI,Biju Janata Dal
8,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,541229,BJP,Result Declared,KAMLESH KUMAR,Bahujan Samaj Party
8,Koppal,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,46357,INC,Result Declared,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party
8,Maldaha Dakshin,ISHA KHAN CHOUDHURY,Indian National Congress,128368,INC,Result Declared,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party
8,Palakkad,V K SREEKANDAN,Indian National Congress,75283,INC,Result Declared,A VIJAYARAGHAVAN,Communist Party of India (Marxist)
8,RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,575285,BJP,Result Declared,VIKAS UPADHYAY,Indian National Congress
8,Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,239139,BJP,Result Declared,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
8,Ranchi,SANJAY SETH,Bharatiya Janata Party,120512,BJP,Result Declared,YASHASWINI SAHAY,Indian National Congress
8,Sambhal,ZIA UR REHMAN,Samajwadi Party,121494,Other,Result Declared,PARMESHWAR LAL SAINI,Bharatiya Janata Party
8,Secunderabad,G. KISHAN REDDY,Bharatiya Janata Party,49944,BJP,Result Declared,DANAM NAGENDER,Indian National Congress
8,Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,264311,BJP,Result Declared,SURYA KANTA SARKAR,Indian National Congress
8,Supaul,DILESHWAR KAMAIT,Janata Dal (United),169803,Other,Result Declared,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal
8,VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,215702,Other,Result Declared,AC SHANMUGAM,Bharatiya Janata Party
8,Wardha,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,81648,Other,Result Declared,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party
9,Alathur,K.RADHAKRISHNAN,Communist Party of India (Marxist),20111,Other,Result Declared,RAMYA HARIDAS,Indian National Congress
9,Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,28670,BJP,Result Declared,KUNWAR DANISH ALI,Indian National Congress
9,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,20094,BJP,Result Declared,SHAHNAWAZ,Rashtriya Janata Dal
9,Bellary,E. TUKARAM,Indian National Congress,98992,INC,Result Declared,B. SREERAMULU,Bharatiya Janata Party
